tick,alive,dead,susceptible,exposed,infectious_asymptomatic,infectious_symptomatic,recovered,vaccinated,gdp,unemployment_rate_pct,national_debt,bank_reserves,bank_in_crisis,healthcare_patients,healthcare_capacity,healthcare_overwhelmed,companies_struggling,companies_bankrupt,lockdown_level,mask_mandate,stimulus_amount,vaccination_rate,mean_wallet,median_wallet,consumer_demand_index
80,9494,506,2814,253,154,688,5585,0,221366.41,3.43,0.0,11685607.54,0,688,500,1,6,0,3,0,0.0,0.0,170.75,141.98,0.6858
81,9479,521,2770,223,137,634,5715,0,222067.32,3.49,0.0,11662122.68,0,634,500,1,4,0,3,0,0.0,0.0,170.49,141.61,0.6854
82,9472,528,2724,190,140,599,5819,0,224125.25,3.54,0.0,11638825.7,0,599,500,1,2,0,3,0,0.0,0.0,170.1,142.49,0.6852
83,9459,541,2683,174,123,526,5953,0,222245.84,3.58,0.0,11615715.09,0,526,500,1,3,0,3,0,0.0,0.0,169.74,142.13,0.6849
84,9450,550,2658,156,108,469,6059,0,228632.3,3.62,0.0,11592789.37,0,469,500,0,3,0,3,0,0.0,0.0,170.92,143.99,0.6846
85,9444,556,2636,134,94,428,6152,0,224888.89,3.71,0.0,11520047.06,0,428,500,0,3,0,3,0,0.0,0.0,170.75,143.76,0.6844
86,9441,559,2608,116,81,380,6256,0,227583.62,3.75,0.0,11497886.68,0,380,500,0,3,0,3,0,0.0,0.0,170.76,143.83,0.6843
87,9441,559,2582,101,63,349,6346,0,226888.87,3.79,0.0,11475903.59,0,349,500,0,2,0,3,0,0.0,0.0,170.37,143.33,0.6843
88,9437,563,2565,93,61,317,6401,0,231142.72,3.85,0.0,11454096.36,0,317,500,0,1,0,3,0,0.0,0.0,170.94,144.63,0.6842
89,9434,566,2546,90,52,274,6472,0,227821.38,3.89,0.0,11432463.59,0,274,500,0,3,0,3,0,0.0,0.0,170.7,143.87,0.6842
90,9433,567,2525,83,38,259,6528,0,229722.0,3.89,0.0,11461003.88,0,259,500,0,1,0,3,0,0.0,0.0,170.9,144.69,0.6841
